timestamp,ph,turb,temp,gas
2026-05-17T16:28:34.976Z,976.6,631,29.662,482.2
2026-05-17T16:28:35.978Z,976.4,630.8,29.662,481.8
2026-05-17T16:28:36.979Z,976.4,630.6,29.662,481.6
2026-05-17T16:28:37.981Z,976.2,630.6,29.676,481.6
2026-05-17T16:28:38.982Z,975.8,630.6,29.662,481.4
2026-05-17T16:28:39.984Z,975.6,630.6,29.676,481.2
2026-05-17T16:28:40.985Z,975.4,630.8,29.662,481.2
2026-05-17T16:28:41.987Z,975.2,630.8,29.662,481.2
2026-05-17T16:28:42.989Z,975.2,630.8,29.662,481
2026-05-17T16:28:43.990Z,975.2,630.8,29.676,481
2026-05-17T16:28:44.992Z,975.4,630.8,29.676,481
2026-05-17T16:28:45.993Z,975.6,630.8,29.69,481
2026-05-17T16:28:46.995Z,975.8,631,29.69,481
2026-05-17T16:28:47.996Z,975.8,631.2,29.69,481
2026-05-17T16:28:48.998Z,976,631.4,29.69,481
2026-05-17T16:28:50.000Z,976.2,631.6,29.69,481
2026-05-17T16:28:51.001Z,976.2,631.8,29.69,481
2026-05-17T16:28:52.003Z,976.4,632,29.69,481
2026-05-17T16:28:53.004Z,976.4,632,29.69,481
2026-05-17T16:28:54.006Z,976.4,632,29.69,481
2026-05-17T16:28:55.007Z,976.4,632,29.69,481
2026-05-17T16:28:56.009Z,976.8,632.2,29.69,480.8
2026-05-17T16:28:57.010Z,976.6,632.4,29.69,480.8
2026-05-17T16:28:58.012Z,976.6,632.4,29.69,480.6
2026-05-17T16:28:59.015Z,976.4,632.4,29.69,480.6
2026-05-17T16:29:00.015Z,976.2,632.4,29.69,480.4
2026-05-17T16:29:01.017Z,975.8,632.2,29.69,480.6
2026-05-17T16:29:02.018Z,975.6,632,29.69,480.6
